nu,trial,method,SHD,F1,TPR,FDR,NMI,ARI
3,6,Gaussian HMM,18.333333333333332,0.2098765432098766,0.6666666666666666,0.8753623188405797,0.5952046828329416,0.4709093734819646
3,6,TRACED,23.0,0.18101010101010098,0.5277777777777778,0.8906525573192239,0.6041305846934556,0.4214750990438047
3,7,Single DAG,25.333333333333332,0.206999789162977,0.9444444444444445,0.880952380952381,0.0,0.0
3,7,Gaussian HMM,18.0,0.15555555555555556,0.5555555555555556,0.9001924001924002,0.4337955540380965,0.3755188298134263
3,7,TRACED,22.333333333333332,0.09876543209876543,0.38888888888888884,0.9422222222222222,0.6455061288240359,0.4448563546636273
3,8,Single DAG,4.0,0.0,0.0,0.0,0.0,0.0
3,8,Gaussian HMM,4.0,0.0,0.0,0.0,0.011637100143383306,0.00010466054465366224
3,8,TRACED,4.0,0.0,0.0,0.0,0.0,0.0
3,9,Single DAG,25.333333333333332,0.26695526695526695,1.0,0.8444444444444446,0.0,0.0
3,9,Gaussian HMM,25.333333333333332,0.26695526695526695,1.0,0.8444444444444446,0.0981722553850399,0.018440504057010858
3,9,TRACED,18.666666666666668,0.1717171717171717,0.6666666666666666,0.5666666666666668,0.5826852680549378,0.4516739494699543
5,0,Single DAG,22.333333333333332,0.1540835707502374,0.8333333333333334,0.9130434782608696,0.0,0.0
5,0,Gaussian HMM,16.0,0.10740740740740741,0.27777777777777773,0.9327731092436974,0.5779220660700775,0.5982420920588746
5,0,TRACED,15.0,0.1814814814814815,0.75,0.8935574229691877,0.9912445765947364,0.9960033373377774
5,1,Single DAG,27.333333333333332,0.16287878787878787,1.0,0.9111111111111111,0.0,0.0
5,1,Gaussian HMM,21.0,0.10227272727272728,0.5,0.942857142857143,0.5739395026822725,0.5556848104580131
5,1,TRACED,23.666666666666668,0.16611681329423264,0.8888888888888888,0.9074410163339383,0.6451891522592093,0.44404896258784443
5,2,Single DAG,24.333333333333332,0.26348039215686275,0.9166666666666666,0.8452380952380952,0.0,0.0
5,2,Gaussian HMM,21.0,0.2432098765432099,0.75,0.8545289855072463,0.9430817133520146,0.9625270675268286
5,2,TRACED,20.666666666666668,0.17276210379658655,0.5555555555555555,0.8960519740129934,0.704897934889857,0.5891486879801485
5,3,Single DAG,22.0,0.2040559997549245,1.0,0.8799999999999999,0.0,0.0
5,3,Gaussian HMM,17.333333333333332,0.2130325814536341,0.8888888888888888,0.8700435729847494,0.7825871914237336,0.8109305553348125
5,3,TRACED,16.0,0.06172839506172839,0.5,0.6330128205128206,0.6815180978830035,0.5183522652246204
5,4,Single DAG,24.666666666666668,0.13897707231040565,0.9166666666666666,0.923076923076923,0.0,0.0
5,4,Gaussian HMM,19.666666666666668,0.10241545893719806,0.4166666666666667,0.937950937950938,0.8384437512130535,0.871751893604948
5,4,TRACED,19.666666666666668,0.11111111111111109,0.4166666666666667,0.9356884057971014,0.6501260034621484,0.45591134327205957
5,5,Single DAG,25.0,0.13809523809523808,0.75,0.923076923076923,0.0,0.0
5,5,Gaussian HMM,19.0,0.1087344028520499,0.3333333333333333,0.932051282051282,0.6136141631993768,0.5677856640675853
5,5,TRACED,16.0,0.1452726017943409,0.5833333333333334,0.9090434419381787,0.7062191463894302,0.5958370088214683
5,6,Single DAG,26.666666666666668,0.14722222222222223,1.0,0.9195402298850576,0.0,0.0
5,6,Gaussian HMM,23.666666666666668,0.14349048800661704,0.8888888888888888,0.9206493506493506,0.5368450582538188,0.38197057789361555
5,6,TRACED,20.666666666666668,0.17047619047619048,0.8888888888888888,0.9029840892585991,0.6485144861396249,0.44670523142141605
5,7,Single DAG,23.666666666666668,0.2654965211891208,1.0,0.8452380952380952,0.0,0.0
5,7,Gaussian HMM,22.666666666666668,0.19689229459344404,0.6666666666666666,0.8818518518518518,0.7663442119162548,0.8178522155648588
5,7,TRACED,20.0,0.24509301928656765,0.75,0.8528180354267311,0.9805920795783621,0.9890383928854067
5,8,Single DAG,23.666666666666668,0.16420361247947457,1.0,0.9102564102564102,0.0,0.0
5,8,Gaussian HMM,19.666666666666668,0.08683473389355743,0.4444444444444444,0.9505494505494506,0.6814133047378902,0.7317054908404272
5,8,TRACED,17.666666666666668,0.11658456486042694,0.5,0.9337606837606837,1.0,1.0
5,9,Single DAG,26.0,0.23427552839317545,1.0,0.8666666666666667,0.0,0.0
5,9,Gaussian HMM,24.333333333333332,0.22943722943722944,0.8888888888888888,0.867832512315271,0.8455717858952475,0.8627207351623455
5,9,TRACED,22.333333333333332,0.2486402486402486,0.9166666666666666,0.8545454545454546,0.5783886692139022,0.5003465567808311
7,0,Single DAG,27.333333333333332,0.1482410309996517,0.611111111111111,0.9135802469135803,0.0,0.0
7,0,Gaussian HMM,21.333333333333332,0.23018648018648016,0.8333333333333334,0.8644179894179894,0.844876848956668,0.8811771990259449
7,0,TRACED,22.333333333333332,0.2391975308641975,0.9444444444444445,0.8567460317460318,0.9864675003308154,0.9930168791613652
7,1,Single DAG,26.0,0.22051396316102198,0.8888888888888888,0.8735632183908045,0.0,0.0
7,1,Gaussian HMM,17.0,0.35858585858585856,1.0,0.7762452107279693,0.7620806401979933,0.8055708216635448
7,1,TRACED,22.666666666666668,0.24052545155993432,0.8888888888888888,0.8608080808080808,0.6587132429637628,0.4789286508928866
7,2,Single DAG,23.0,0.22769567597153806,0.8055555555555555,0.8666666666666667,0.0,0.0
7,2,Gaussian HMM,15.333333333333334,0.259018759018759,0.6277777777777778,0.8333333333333334,0.7281039299406471,0.743244226875859
7,2,TRACED,19.666666666666668,0.14761904761904762,0.42777777777777776,0.9064814814814813,0.9912445765947364,0.9960033373377774
7,3,Single DAG,28.333333333333332,0.10227272727272728,0.6666666666666666,0.9444444444444445,0.0,0.0
7,3,Gaussian HMM,24.0,0.11197626992955134,0.6666666666666666,0.938549955791335,0.7887754073548822,0.838618517326543
7,3,TRACED,24.333333333333332,0.06896551724137931,0.3333333333333333,0.9615384615384616,0.9166842414170612,0.9259883758316007
7,4,Single DAG,22.333333333333332,0.23858024691358026,1.0,0.858974358974359,0.0,0.0
7,4,Gaussian HMM,18.666666666666668,0.24925266304576651,0.9444444444444445,0.8502635046113308,0.5751534885074537,0.41238552227798486
7,4,TRACED,19.0,0.23113553113553117,0.8888888888888888,0.861244019138756,0.6499593221549125,0.4501103084820741
7,5,Single DAG,27.333333333333332,0.16054280949916624,1.0,0.9111111111111111,0.0,0.0
